"","pkt.2001","teritorija"
"1","1.1.","Andoras Ielejas"
"2","1.2.","Angilja (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"3","1.3.","Antigva un Barbuda"
"4","1.4.","Antiļas (Nīderlandes Karaliste)"
"5","1.5.","Apvienotie Arābu Emirāti"
"6","1.6.","Aruba (Nīderlandes Karaliste)"
"7","1.7.","Amerikas Savienoto Valstu Virdžīnu salas"
"8","1.8.","Bahamu salu Sadraudzība"
"9","1.9.","Bahreinas Valsts"
"10","1.10.","Barbadosa"
"11","1.11.","Beliza"
"12","1.12.","Bermudu salas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"13","1.13.","Britu Virdžīnu salas"
"14","1.14.","Bruneja Darusalama"
"15","1.15.","Dominikas Sadraudzība"
"16","1.16.","Džērsi (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"17","1.17.","Džibutijas Republika"
"18","1.18.","Ekvadoras Republika"
"19","1.19.","Gērnsi (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"20","1.20.","Gibraltārs (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"21","1.21.","Grenāda"
"22","1.22.","Guama (Amerikas Savienotās Valstis)"
"23","1.23.","Gvatemalas Republika"
"24","1.24.","Honkonga (Sjangana, Ķīnas Tautas Republika)"
"25","1.25.","Jamaika"
"26","1.26.","Jaunkaledonija (Francijas Republika)"
"27","1.27.","Jordānijas Hāšimītu Karaliste"
"28","1.28.","Kaimanu salas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"29","1.29.","Kampiones pilsēta (Itālijas Republika)"
"30","1.30.","Katāras Valsts"
"31","1.31.","Kenijas Republika"
"32","1.33.","Kostarikas Republika"
"33","1.34.","Kuka salas (Jaunzēlande)"
"34","1.35.","Kuveitas Valsts"
"35","1.36.","Labuāna (Malaizija)"
"36","1.37.","Libānas Republika"
"37","1.38.","Libērijas Republika"
"38","1.39.","Lihtenšteinas Firstiste"
"39","1.40.","Madeiras sala (Portugāles Republika)"
"40","1.41.","Makao (Ķīnas Tautas Republika)"
"41","1.42.","Maldīvijas Republika"
"42","1.43.","Maurīcijas Republika"
"43","1.44.","Māršala salu Republika"
"44","1.45.","Menas sala (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"45","1.46.","Monako Firstiste"
"46","1.47.","Montserrata (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"47","1.48.","Nauru Republika"
"48","1.49.","Niue (Jaunzēlande)"
"49","1.50.","Olderne (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"50","1.51.","Panamas Republika"
"51","1.52.","Samoa Neatkarīgā Valsts"
"52","1.53.","Sanmarīno Republika"
"53","1.54.","Santamarijas sala (Portugāles Republika)"
"54","1.55.","Santomes un Prinsipi Demokrātiskā Republika"
"55","1.56.","Seišelu Republika"
"56","1.57.","Senpjēra un Mikelona (Francijas Republika)"
"57","1.58.","Sentkitsas un Nevisas Federācija"
"58","1.59.","Sentlūsija"
"59","1.60.","Sentvinsenta un Grenadīnas"
"60","1.61.","Svētās Helēnas sala (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"61","1.62.","Taiti (Franču Polinēzija)"
"62","1.63.","Tērksas un Kaikosas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"63","1.64.","Tongas Karaliste"
"64","1.65.","Urugvajas Austrumu Republika"
"65","1.66.","Vanuatu Republika"
"66","1.67.","Venecuēlas Republika"
"67","1.68.","Zanzibāras sala (Tanzānijas Apvienotā Republika)"
